HS6,China,Japan,Korea,Uae,Veitnam
30821,30.0,0.0,5.0,0.0,0.0
30822,30.0,0.0,5.0,0.0,0.0
30829,30.0,0.0,5.0,0.0,0.0
30830,30.0,0.0,5.0,0.0,0.0
30890,30.0,0.0,5.0,0.0,0.0
30910,30.0,0.0,5.0,0.0,0.0
30990,30.0,0.0,5.0,0.0,0.0
40110,30.0,0.0,0.0,0.0,0.0
40120,30.0,0.0,0.0,0.0,0.0
40140,30.0,0.0,0.0,0.0,0.0
40150,30.0,0.0,0.0,0.0,0.0
40210,60.0,0.0,0.0,0.0,0.0
40221,60.0,0.0,0.0,0.0,0.0
40229,30.0,0.0,0.0,0.0,0.0
40291,30.0,0.0,0.0,0.0,0.0
40299,30.0,0.0,0.0,0.0,0.0
40320,30.0,0.0,5.0,0.0,0.0
40390,30.0,0.0,5.0,0.0,0.0
40410,40.0,0.0,0.0,0.0,0.0
40490,40.0,0.0,5.0,0.0,0.0
40510,40.0,0.0,0.0,0.0,0.0
40520,40.0,0.0,0.0,0.0,0.0
40590,40.0,0.0,0.0,0.0,0.0
40610,30.0,0.0,5.0,0.0,0.0
40620,30.0,0.0,5.0,0.0,0.0
40630,30.0,0.0,5.0,0.0,0.0
40640,30.0,0.0,5.0,0.0,0.0
40690,40.0,0.0,0.0,0.0,0.0
40711,30.0,0.0,0.0,27.0,0.0
40719,30.0,0.0,0.0,27.0,0.0
40721,30.0,0.0,0.0,27.0,0.0
40729,30.0,0.0,0.0,27.0,0.0
40790,30.0,0.0,0.0,27.0,0.0
40811,30.0,0.0,5.0,27.0,5.0
40819,30.0,0.0,5.0,27.0,5.0
40891,30.0,0.0,5.0,27.0,5.0
40899,30.0,0.0,5.0,27.0,5.0
40900,60.0,0.0,0.0,27.0,0.0
41010,30.0,0.0,5.0,24.0,0.0
41090,30.0,0.0,5.0,24.0,0.0
50100,30.0,0.0,5.0,24.0,0.0
50210,30.0,0.0,5.0,0.0,0.0
50290,30.0,0.0,5.0,24.0,0.0
50400,30.0,0.0,5.0,24.0,0.0
50510,30.0,0.0,5.0,24.0,0.0
50590,30.0,0.0,5.0,24.0,0.0
50610,30.0,0.0,5.0,24.0,0.0
50690,30.0,0.0,5.0,24.0,0.0
50710,30.0,0.0,5.0,24.0,0.0
50790,30.0,0.0,5.0,24.0,0.0
50800,25.0,0.0,5.0,24.0,0.0
51000,30.0,0.0,5.0,24.0,0.0
51110,30.0,0.0,5.0,24.0,0.0
51191,30.0,0.0,5.0,24.0,0.0
51199,30.0,0.0,5.0,24.0,0.0
60110,10.0,0.0,0.0,0.0,0.0
60120,10.0,0.0,0.0,0.0,0.0
60210,10.0,0.0,0.0,0.0,0.0
60220,10.0,0.0,0.0,0.0,0.0
60230,10.0,0.0,0.0,0.0,0.0
60240,10.0,0.0,0.0,0.0,0.0
60290,10.0,0.0,0.0,0.0,0.0
60311,60.0,0.0,0.0,48.0,0.0
60312,60.0,0.0,0.0,48.0,0.0
60313,60.0,0.0,0.0,48.0,0.0
60314,60.0,0.0,0.0,48.0,0.0
60315,60.0,0.0,0.0,48.0,0.0
60319,60.0,0.0,0.0,48.0,0.0
60390,60.0,0.0,0.0,48.0,0.0
60420,30.0,0.0,0.0,24.0,0.0
60490,30.0,0.0,0.0,24.0,0.0
70110,30.0,0.0,0.0,27.0,0.0
70190,30.0,0.0,0.0,27.0,0.0
70200,30.0,0.0,0.0,27.0,0.0
70310,0.0,0.0,0.0,0.0,0.0
70320,100.0,0.0,0.0,0.0,0.0
70390,30.0,0.0,0.0,0.0,0.0
